MonitoringStation,SampleDate,CHLA,SALINITY,TN,TP,WTEMP,DO
CB6.4,7/23/84,11.07,18.8,0.6153,0.031,24.7,12.5
CB6.4,8/7/84,10.56,14.5,0.4275,0.042,27.7,2.5
CB6.4,8/27/84,11.86,17.4,0.6275,0.058,27.2,3.9
CB6.4,9/10/84,14.9,19.2,0.4103,0.05,23.9,4
CB6.4,9/24/84,11.81,20.3,0.4675,0.035,22.8,4.7
CB6.4,10/8/84,17.74,19.8,0.5175,0.04,18.2,8.1
CB6.4,10/22/84,14.02,20.6,0.3275,0.029,17.4,5.2
CB6.4,11/16/84,5,20.28,0.479,0.036,12.5,9.1
CB6.4,12/11/84,4.39,21.82,0.3846,0.019,7.5,9.4
CB6.4,1/24/85,10.71,23.15,0.2813,0.064,0.7,11.8
CB6.4,2/14/85,15.17,20.9,0.348,0.033,0.7,11.5
CB6.4,3/5/85,8.63,18.94,0.439,0.023,5.8,10.4
CB6.4,3/26/85,12.32,20.8,0.391,0.038,5.8,10
CB6.4,4/11/85,16.45,22.5,0.4875,0.063,9.8,9.8
CB6.4,4/23/85,0,18.54,0.4009,0.035,17.1,10.4
CB6.4,5/7/85,8.99,21.96,0.3264,0.077,16.8,8.1
CB6.4,5/22/85,3.79,21.88,0.2275,0.037,20.3,5.2
CB6.4,6/3/85,12.08,19.57,0.7575,0.032,22.6,6.5
CB6.4,6/17/85,7.49,21.48,0.8575,0.048,23.9,5.4
CB6.4,7/8/85,4.81,20.34,0.4775,0.063,25.4,4.8
CB6.4,7/22/85,0.19,23.1,0.5575,0.048,26.2,5.8
CB6.4,8/6/85,1.98,22.12,0.3075,0.025,26.1,5.9
CB6.4,8/20/85,7.21,23.33,0.3675,0.042,27.4,7.4
CB6.4,9/10/85,5.55,21.76,0.5775,0.047,28.1,1.1
CB6.4,9/30/85,0,22.81,0.4575,0.058,23.3,6.5
CB6.4,10/9/85,4.81,22.44,0.5075,0.036,22.2,2.4
CB6.4,11/6/85,4.68,22.09,0.5775,0.043,15.7,7.8
