MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB6.4,64344,5/18/89,B ,CHLA,1.2,UG/L
CB6.4,64344,5/18/89,BP,CHLA,2.5,UG/L
CB6.4,64601,6/12/89,S ,CHLA,4.5,UG/L
CB6.4,64601,6/12/89,AP,CHLA,2.7,UG/L
CB6.4,64601,6/12/89,BP,CHLA,3.6,UG/L
CB6.4,64601,6/12/89,B ,CHLA,1.3,UG/L
CB6.4,64901,6/27/89,S ,CHLA,7.2,UG/L
CB6.4,64901,6/27/89,AP,CHLA,9.0,UG/L
CB6.4,64901,6/27/89,BP,CHLA,2.1,UG/L
CB6.4,64901,6/27/89,B ,CHLA,0.0,UG/L
CB6.4,65146,7/11/89,S ,CHLA,11.5,UG/L
CB6.4,65146,7/11/89,AP,CHLA,9.6,UG/L
CB6.4,65146,7/11/89,BP,CHLA,1.6,UG/L
CB6.4,65146,7/11/89,B ,CHLA,1.0,UG/L
CB6.4,65341,7/24/89,S ,CHLA,9.6,UG/L
CB6.4,65341,7/24/89,AP,CHLA,13.2,UG/L
CB6.4,65341,7/24/89,BP,CHLA,5.9,UG/L
CB6.4,65341,7/24/89,B ,CHLA,3.9,UG/L
CB6.4,65642,8/15/89,S ,CHLA,22.6,UG/L
CB6.4,65642,8/15/89,AP,CHLA,4.1,UG/L
CB6.4,65642,8/15/89,BP,CHLA,0.9,UG/L
CB6.4,65642,8/15/89,B ,CHLA,1.2,UG/L
CB6.4,57405,8/29/89,S ,CHLA,13.3,UG/L
CB6.4,57405,8/29/89,AP,CHLA,12.3,UG/L
CB6.4,57405,8/29/89,BP,CHLA,1.3,UG/L
CB6.4,57405,8/29/89,B ,CHLA,1.5,UG/L
CB6.4,57585,9/11/89,S ,CHLA,7.3,UG/L
CB6.4,57585,9/11/89,AP,CHLA,7.8,UG/L
CB6.4,57585,9/11/89,BP,CHLA,2.6,UG/L
CB6.4,57585,9/11/89,B ,CHLA,3.0,UG/L
CB6.4,57843,9/28/89,S ,CHLA,6.2,UG/L
CB6.4,57843,9/28/89,AP,CHLA,4.0,UG/L
CB6.4,57843,9/28/89,BP,CHLA,4.2,UG/L
CB6.4,57843,9/28/89,B ,CHLA,2.8,UG/L
CB6.4,57992,10/10/89,S ,CHLA,5.1,UG/L
CB6.4,57992,10/10/89,AP,CHLA,8.2,UG/L
CB6.4,57992,10/10/89,B ,CHLA,2.9,UG/L
CB6.4,58482,11/13/89,S ,CHLA,9.1,UG/L
CB6.4,57992,10/10/89,BP,CHLA,2.5,UG/L
CB6.4,58482,11/13/89,AP,CHLA,8.3,UG/L
CB6.4,58482,11/13/89,BP,CHLA,7.6,UG/L
CB6.4,58482,11/13/89,B ,CHLA,7.8,UG/L
CB6.4,58810,12/14/89,S ,CHLA,5.7,UG/L
CB6.4,58810,12/14/89,AP,CHLA,11.7,UG/L
CB6.4,58810,12/14/89,BP,CHLA,13.3,UG/L
CB6.4,58810,12/14/89,B ,CHLA,13.1,UG/L
CB6.4,58969,1/9/90,S ,CHLA,8.8,UG/L
