MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB5.1,66614,9/16/02,B ,CHLA,1.495,UG/L
CB5.1,66614,9/16/02,S ,CHLA,6.915,UG/L
CB5.1,66614,9/16/02,AP,CHLA,4.112,UG/L
CB5.1,66614,9/16/02,BP,CHLA,1.121,UG/L
CB5.1,66923,10/15/02,S ,CHLA,4.153,UG/L
CB5.1,66923,10/15/02,AP,CHLA,2.99,UG/L
CB5.1,66923,10/15/02,BP,CHLA,3.157,UG/L
CB5.1,66923,10/15/02,B ,CHLA,2.492,UG/L
CB5.1,67247,11/12/02,S ,CHLA,14.055,UG/L
CB5.1,67247,11/12/02,AP,CHLA,8.672,UG/L
CB5.1,67247,11/12/02,BP,CHLA,6.28,UG/L
CB5.1,78236,1/11/01,AP,CHLA,4.037,UG/L
CB5.1,78236,1/11/01,S ,CHLA,3.289,UG/L
CB5.1,78236,1/11/01,BP,CHLA,8.672,UG/L
CB5.1,78236,1/11/01,B ,CHLA,10.616,UG/L
CB5.1,78521,2/12/01,S ,CHLA,5.682,UG/L
CB5.1,78521,2/12/01,AP,CHLA,6.194,UG/L
CB5.1,78521,2/12/01,BP,CHLA,13.03,UG/L
CB5.1,78521,2/12/01,B ,CHLA,17.302,UG/L
CB5.1,78835,3/19/01,S ,CHLA,11.534,UG/L
CB5.1,78835,3/19/01,AP,CHLA,12.389,UG/L
CB5.1,78835,3/19/01,BP,CHLA,8.971,UG/L
CB5.1,78835,3/19/01,B ,CHLA,7.69,UG/L
CB5.1,79066,4/2/01,S ,CHLA,27.287,UG/L
CB5.1,79066,4/2/01,AP,CHLA,21.12,UG/L
CB5.1,79066,4/2/01,BP,CHLA,16.634,UG/L
CB5.1,67247,11/12/02,B ,CHLA,2.392,UG/L
CB5.1,67532,12/10/02,S ,CHLA,10.317,UG/L
CB5.1,67532,12/10/02,AP,CHLA,10.018,UG/L
CB5.1,67532,12/10/02,BP,CHLA,8.971,UG/L
CB5.1,67532,12/10/02,B ,CHLA,8.224,UG/L
CB5.1,71959,1/14/03,S ,CHLA,8.971,UG/L
CB5.1,71959,1/14/03,AP,CHLA,9.569,UG/L
CB5.1,71959,1/14/03,BP,CHLA,7.925,UG/L
CB5.1,71959,1/14/03,B ,CHLA,9.27,UG/L
CB5.1,72126,2/10/03,BP,CHLA,11.064,UG/L
CB5.1,72126,2/10/03,B ,CHLA,11.962,UG/L
CB5.1,72126,2/10/03,S ,CHLA,4.592,UG/L
CB5.1,72126,2/10/03,AP,CHLA,8.672,UG/L
CB5.1,72353,3/10/03,S ,CHLA,7.663,UG/L
CB5.1,72353,3/10/03,AP,CHLA,9.719,UG/L
CB5.1,72353,3/10/03,BP,CHLA,22.054,UG/L
CB5.1,72353,3/10/03,B ,CHLA,26.615,UG/L
CB5.1,72719,4/8/03,S ,CHLA,12.335,UG/L
CB5.1,72719,4/8/03,AP,CHLA,10.84,UG/L
CB5.1,72719,4/8/03,BP,CHLA,33.268,UG/L
CB5.1,72719,4/8/03,B ,CHLA,39.374,UG/L
CB5.1,72912,4/21/03,S ,CHLA,40.669,UG/L
CB5.1,72912,4/21/03,AP,CHLA,36.184,UG/L
CB5.1,72912,4/21/03,BP,CHLA,41.268,UG/L
CB5.1,72912,4/21/03,B ,CHLA,51.335,UG/L
CB5.1,73086,5/5/03,S ,CHLA,22.054,UG/L
CB5.1,73086,5/5/03,AP,CHLA,20.372,UG/L
CB5.1,73086,5/5/03,BP,CHLA,14.765,UG/L
CB5.1,73086,5/5/03,B ,CHLA,41.866,UG/L
CB5.1,73341,5/19/03,S ,CHLA,26.54,UG/L
CB5.1,73341,5/19/03,AP,CHLA,19.251,UG/L
CB5.1,73341,5/19/03,BP,CHLA,5.42,UG/L
CB5.1,73341,5/19/03,B ,CHLA,8.971,UG/L
CB5.1,73879,6/16/03,BP,CHLA,0.854,UG/L
CB5.1,73879,6/16/03,B ,CHLA,1.922,UG/L
CB5.1,73879,6/16/03,S ,CHLA,11.321,UG/L
CB5.1,84475,8/17/98,S ,CHLA,11.06448,UG/L
CB5.1,73879,6/16/03,AP,CHLA,19.224,UG/L
CB5.1,84475,8/17/98,AP,CHLA,6.7284,UG/L
CB5.1,84475,8/17/98,BP,CHLA,0.7476,UG/L
CB5.1,84475,8/17/98,B ,CHLA,0.7476,UG/L
CB5.1,84605,9/1/98,BP,CHLA,1.04664,UG/L
CB5.1,84605,9/1/98,B ,CHLA,1.4952,UG/L
CB5.1,84605,9/1/98,S ,CHLA,13.00824,UG/L
CB5.1,84605,9/1/98,AP,CHLA,12.41016,UG/L
CB5.1,84967,10/13/98,S ,CHLA,4.33608,UG/L
CB5.1,84967,10/13/98,AP,CHLA,2.9904,UG/L
CB5.1,84967,10/13/98,BP,CHLA,2.69136,UG/L
CB5.1,84967,10/13/98,B ,CHLA,2.09328,UG/L
CB5.1,85227,11/16/98,S ,CHLA,7.476,UG/L
CB5.1,85227,11/16/98,AP,CHLA,3.738,UG/L
CB5.1,85227,11/16/98,BP,CHLA,2.2428,UG/L
CB5.1,85227,11/16/98,B ,CHLA,1.4952,UG/L
CB5.1,85476,12/15/98,S ,CHLA,5.68176,UG/L
CB5.1,85476,12/15/98,AP,CHLA,4.03704,UG/L
CB5.1,85476,12/15/98,BP,CHLA,3.43896,UG/L
CB5.1,85476,12/15/98,B ,CHLA,4.18656,UG/L
CB5.1,85630,1/11/99,S ,CHLA,4.18656,UG/L
CB5.1,85630,1/11/99,AP,CHLA,4.18656,UG/L
CB5.1,85630,1/11/99,BP,CHLA,3.88752,UG/L
CB5.1,85630,1/11/99,B ,CHLA,2.9904,UG/L
CB5.1,85883,2/8/99,S ,CHLA,4.18656,UG/L
CB5.1,85883,2/8/99,AP,CHLA,4.93416,UG/L
CB5.1,85883,2/8/99,BP,CHLA,4.4856,UG/L
CB5.1,85883,2/8/99,B ,CHLA,4.93416,UG/L
CB5.1,86177,3/16/99,S ,CHLA,7.80827,UG/L
CB5.1,86177,3/16/99,AP,CHLA,9.63573,UG/L
CB5.1,86177,3/16/99,BP,CHLA,11.13093,UG/L
CB5.1,86177,3/16/99,B ,CHLA,11.62933,UG/L
CB5.1,79066,4/2/01,B ,CHLA,12.335,UG/L
CB5.1,79311,4/16/01,S ,CHLA,13.083,UG/L
CB5.1,79311,4/16/01,AP,CHLA,12.709,UG/L
CB5.1,79311,4/16/01,BP,CHLA,2.617,UG/L
CB5.1,79311,4/16/01,B ,CHLA,2.99,UG/L
CB5.1,79469,5/7/01,S ,CHLA,4.859,UG/L
CB5.1,79469,5/7/01,AP,CHLA,6.355,UG/L
CB5.1,79469,5/7/01,BP,CHLA,4.859,UG/L
CB5.1,79469,5/7/01,B ,CHLA,4.859,UG/L
CB5.1,79767,5/29/01,S ,CHLA,7.663,UG/L
CB5.1,79767,5/29/01,AP,CHLA,11.962,UG/L
CB5.1,79767,5/29/01,BP,CHLA,0.934,UG/L
CB5.1,79767,5/29/01,B ,CHLA,0.374,UG/L
CB5.1,79934,6/11/01,S ,CHLA,16.148,UG/L
CB5.1,79934,6/11/01,AP,CHLA,16.148,UG/L
CB5.1,79934,6/11/01,BP,CHLA,5.383,UG/L
CB5.1,79934,6/11/01,B ,CHLA,0.997,UG/L
CB5.1,48230,7/22/91,AP,CHLA,3.9,UG/L
CB5.1,48230,7/22/91,BP,CHLA,1.0,UG/L
CB5.1,48230,7/22/91,B ,CHLA,1.0,UG/L
