MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB3.2,126589,7/12/84,B ,CHLA,4.0,UG/L
CB3.2,126589,7/12/84,S ,CHLA,2.7,UG/L
CB3.2,126589,7/12/84,BP,CHLA,1.3,UG/L
CB3.2,126707,7/25/84,AP,CHLA,5.3,UG/L
CB3.2,126707,7/25/84,B ,CHLA,5.3,UG/L
CB3.2,126707,7/25/84,S ,CHLA,5.3,UG/L
CB3.2,126820,8/7/84,AP,CHLA,6.7,UG/L
CB3.2,126820,8/7/84,BP,CHLA,12.0,UG/L
CB3.2,126931,8/30/84,B ,CHLA,5.3,UG/L
CB3.2,126931,8/30/84,B ,CHLA,5.3,UG/L
CB3.2,127400,10/24/84,S ,CHLA,6.0,UG/L
CB3.2,127162,9/26/84,S ,CHLA,4.0,UG/L
CB3.2,127033,9/12/84,BP,CHLA,2.7,UG/L
CB3.2,126820,8/7/84,B ,CHLA,9.3,UG/L
CB3.2,127033,9/12/84,B ,CHLA,4.7,UG/L
CB3.2,127162,9/26/84,AP,CHLA,6.0,UG/L
CB3.2,127292,10/10/84,B ,CHLA,5.3,UG/L
CB3.2,127292,10/10/84,AP,CHLA,19.4,UG/L
CB3.2,127292,10/10/84,S ,CHLA,26.0,UG/L
CB3.2,127292,10/10/84,BP,CHLA,11.3,UG/L
CB3.2,127162,9/26/84,BP,CHLA,5.3,UG/L
CB3.2,127033,9/12/84,S ,CHLA,7.3,UG/L
CB3.2,127162,9/26/84,B ,CHLA,4.7,UG/L
CB3.2,127033,9/12/84,AP,CHLA,13.4,UG/L
CB3.2,126931,8/30/84,S ,CHLA,6.0,UG/L
CB3.2,126931,8/30/84,AP,CHLA,6.7,UG/L
CB3.2,126931,8/30/84,BP,CHLA,6.0,UG/L
CB3.2,126820,8/7/84,S ,CHLA,17.4,UG/L
CB3.2,127456,11/7/84,S ,CHLA,8.0,UG/L
CB3.2,127807,2/13/85,S ,CHLA,18.0,UG/L
CB3.2,128139,4/10/85,BP,CHLA,19.6,UG/L
CB3.2,128017,3/21/85,S ,CHLA,3.3,UG/L
CB3.2,128139,4/10/85,B ,CHLA,37.4,UG/L
CB3.2,128017,3/21/85,AP,CHLA,3.3,UG/L
CB3.2,127807,2/13/85,AP,CHLA,15.4,UG/L
CB3.2,127456,11/7/84,AP,CHLA,7.1,UG/L
CB3.2,127400,10/24/84,AP,CHLA,5.3,UG/L
CB3.2,127400,10/24/84,BP,CHLA,6.7,UG/L
CB3.2,127456,11/7/84,BP,CHLA,3.6,UG/L
CB3.2,127627,12/12/84,S ,CHLA,14.7,UG/L
CB3.2,127627,12/12/84,AP,CHLA,4.0,UG/L
CB3.2,127807,2/13/85,BP,CHLA,14.7,UG/L
CB3.2,127807,2/13/85,BP,CHLA,16.0,UG/L
CB3.2,128017,3/21/85,BP,CHLA,2.7,UG/L
CB3.2,128139,4/10/85,S ,CHLA,8.0,UG/L
CB3.2,128139,4/10/85,AP,CHLA,9.8,UG/L
CB3.2,128017,3/21/85,B ,CHLA,1.0,UG/L
CB3.2,127807,2/13/85,B ,CHLA,17.4,UG/L
CB3.2,127627,12/12/84,B ,CHLA,4.0,UG/L
CB3.2,127627,12/12/84,BP,CHLA,6.7,UG/L
CB3.2,127456,11/7/84,B ,CHLA,4.5,UG/L
CB3.2,127400,10/24/84,B ,CHLA,8.0,UG/L
CB3.2,113618,12/11/85,S ,CHLA,1.5,UG/L
CB3.2,113618,12/11/85,BP,CHLA,2.0,UG/L
CB3.2,113618,12/11/85,B ,CHLA,1.7,UG/L
CB3.2,113771,1/8/86,S ,CHLA,1.9,UG/L
CB3.2,113771,1/8/86,AP,CHLA,4.7,UG/L
CB3.2,113771,1/8/86,B ,CHLA,5.1,UG/L
CB3.2,113771,1/8/86,BP,CHLA,4.7,UG/L
CB3.2,114026,2/14/86,AP,CHLA,4.2,UG/L
CB3.2,120237,6/5/85,AP,CHLA,2.6,UG/L
CB3.2,120424,6/19/85,AP,CHLA,6.1,UG/L
CB3.2,120930,8/8/85,AP,CHLA,11.8,UG/L
CB3.2,121066,8/21/85,S ,CHLA,4.8,UG/L
CB3.2,121240,9/11/85,BP,CHLA,1.9,UG/L
CB3.2,121348,9/25/85,S ,CHLA,3.0,UG/L
CB3.2,121348,9/25/85,AP,CHLA,3.1,UG/L
CB3.2,121611,10/9/85,B ,CHLA,1.9,UG/L
CB3.2,121611,10/9/85,S ,CHLA,7.8,UG/L
